sys,system,series,stage,short,bottom,mid,top,dur,bin,systemCol,seriesCol,col,stageCol,stage name,stageRGB,CGMW
K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.2,69.1,66,6.2,78,#95c562,#b9d25d,#f5f1a7,#F2FA8C,Maastrichtian Stage,"242,250,140",#F2FA8C
Pg,Paleogene,Paleocene,Danian,Dan,66,63.83,61.66,4.34,79,#f8ac70,#f8b77d,#fbc27f,#FDB462,Danian Stage,"253,180,98",#FDB462
Pg,Paleogene,Paleocene,Selandian,Se,61.66,60.45,59.24,2.42,80,#f8ac70,#f8b77d,#fccb87,#FEBF65,Selandian Stage,"254,191,101",#FEBF65
Pg,Paleogene,Paleocene,Thanetian,Th,59.24,57.62,56,3.24,81,#f8ac70,#f8b77d,#fccb87,#FDBF6F,Thanetian Stage,"253,191,111",#FDBF6F
Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,82,#f8ac70,#fac18a,#f7ba8e,#FCA773,Ypresian Stage,"252,167,115",#FCA773
Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,83,#f8ac70,#fac18a,#f9c39f,#FDB482,Lutetian Stage,"253,180,130",#FDB482
Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,84,#f8ac70,#fac18a,#fcceac,#FDC091,Bartonian Stage,"253,192,145",#FDC091
Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,85,#f8ac70,#fac18a,#fcd7ba,#FDCDA1,Priabonian Stage,"253,205,161",#FDCDA1
Pg,Paleogene,Oligocene,Rupelian,Rup,33.9,30.6,27.3,6.6,86,#f8ac70,#fdcb98,#fedfb3,#FED99A,Rupelian Stage,"254,217,154",#FED99A
Pg,Paleogene,Oligocene,Chattian,Cht,27.3,25.17,23.04,4.26,87,#f8ac70,#fdcb98,#ffeac3,#FEE6AA,Chattian Stage,"254,230,170",#FEE6AA
Ng,Neogene,Miocene,Aquitanian,Aqu,23.04,21.745,20.45,2.59,88,#fede1a,#ffed02,#fff14a,#FFFF33,Aquitanian Stage,"255,255,51",#FFFF33
Ng,Neogene,Miocene,Burdigalian,Bur,20.45,18.215,15.98,4.47,89,#fede1a,#ffed02,#fef26b,#FFFF41,Burdigalian Stage,"255,255,65",#FFFF41
Ng,Neogene,Miocene,Langhian,Lan,15.98,14.9,13.82,2.16,90,#fede1a,#ffed02,#fef488,#FFFF4D,Langhian Stage,"255,255,77",#FFFF4D
Ng,Neogene,Miocene,Serravallian,Ser,13.82,12.725,11.63,2.19,91,#fede1a,#ffed02,#FFFF59,#FFFF59,Serravallian Stage,"255,255,89",#FFFF59
Ng,Neogene,Miocene,Tortonian,Tor,11.63,9.438,7.246,4.384,92,#fede1a,#ffed02,#FFFF66,#FFFF66,Tortonian Stage,"255,255,102",#FFFF66
Ng,Neogene,Miocene,Messinian,Mes,7.246,6.2895,5.333,1.913,93,#fede1a,#ffed02,#FFFF73,#FFFF73,Messinian Stage,"255,255,115",#FFFF73
Ng,Neogene,Miocene,Zanclean,Zan,5.333,4.4665,3.6,1.733,94,#fede1a,#fff7b2,#fff7b2,#FFFFB3,Zanclean Stage,"255,255,179",#FFFFB3
Ng,Neogene,Pliocene,Piacenzian,Pia,3.6,3.09,2.58,1.02,95,#fede1a,#fff7b2,#fff7b2,#FFFFBF,Piacenzian Stage,"255,255,191",#FFFFBF
Q,Quarternary,Pleistocene,Pleistocene,Ple,2.58,1.29585,0.0117,2.5683,96,#fff69b,#fff2c5,#fff2c5,#FEEBD2,Holocene Series,"254,235,210",#FEEBD2
Q,Quarternary,Holocene,Holocene,Hol,0.0117,0.00585,0,0.0117,97,#fff69b,#fff5eb,#fff5eb,#FFEFAF,Pleistocene Series,"255,239,175",#FFEFAF
