bin,stage,short,bottom,mid,top,dur,climate_state
72,Albian,Alb,113.2,106.85,100.5,12.7,Warmhouse
73,Cenomanian,Cen,100.5,97.2,93.9,6.6,Hothouse
74,Turonian,Tur,93.9,91.85,89.8,4.1,Hothouse
75,Coniacian,Con,89.8,87.75,85.7,4.1,Hothouse
76,Santonian,San,85.7,84.65,83.6,2.1,Hothouse
77,Campanian,Cam,83.6,77.9,72.2,11.4,Warmhouse
78,Maastrichtian,Maa,72.2,69.1,66,6.2,Transitional
79,Danian,Dan,66,63.83,61.66,4.34,Hothouse
80,Selandian,Se,61.66,60.45,59.24,2.42,Hothouse
81,Thanetian,Th,59.24,57.62,56,3.24,Warmhouse
82,Ypresian,Ypr,56,52.035,48.07,7.93,Hothouse
83,Lutetian,Lut,48.07,44.55,41.03,7.04,Warmhouse
84,Bartonian,Brt,41.03,39.37,37.71,3.32,Warmhouse
85,Priabonian,Prb,37.71,35.805,33.9,3.81,Warmhouse
86,Rupelian,Rup,33.9,30.6,27.3,6.6,Transitional
87,Chattian,Cht,27.3,25.17,23.04,4.26,Transitional
88,Aquitanian,Aqu,23.04,21.745,20.45,2.59,Coolhouse
89,Burdigalian,Bur,20.45,18.215,15.98,4.47,Transitional
90,Langhian,Lan,15.98,14.9,13.82,2.16,Transitional
91,Serravallian,Ser,13.82,12.725,11.63,2.19,Transitional
92,Tortonian,Tor,11.63,9.438,7.246,4.384,Coolhouse
93,Messinian,Mes,7.246,6.2895,5.333,1.913,Coldhouse
94,Zanclean,Zan,5.333,4.4665,3.6,1.733,Coldhouse
95,Piacenzian,Pia,3.6,3.09,2.58,1.02,Coldhouse
96,Pleistocene,Ple,2.58,1.29585,0.0117,2.5683,Coldhouse
97,Holocene,Hol,0.0117,0.00585,0,0.0117,Coldhouse
