"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",265.59,"Wordian","Paleozoic",0.593350383631714,-0.516156349844305,-0.397998886765775,2,3,0.529878412451578,0.571158456276902,1,1,0.583683224811834,1.09194945685912,0.11815746307853,-0.11815746307853,0.0412800438253239,-0.0412800438253239,0.287682072451781,-1,0,0,0.278343096652892,-0.508266232047287,0.837816340835478
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",270.65,"Roadian","Paleozoic",0.684210526315789,-0.55635146847669,-0.120389164686124,2.5,3.5,0.67076926949166,0.579425639769385,1,1,0.774006558742817,0.812043825002079,0.435962303790566,-0.435962303790566,0.0913436297222758,0.0913436297222758,0.251314428280906,-1,0,0,0.0212148122819685,-0.038037266259262,0.793025191872448
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",278.85,"Kungurian","Paleozoic",0.102631578947368,-0.1837048517086,-0.299902535000839,4,3,0.600528867445122,0.579425639769385,1,1,0.802615353898361,1.11326019901354,0.116197683292239,0.116197683292239,0.0211032276757371,0.0211032276757371,0.22314355131421,1,0,0,0.158993288293034,-0.310644845115183,0.957937776455952
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",286.7,"Artinskian","Paleozoic",0.31578947368421,-0.826281604846496,-0.0123460171909766,2,3,0.937817351642393,1.05677814386534,1,1,1.90904300818325,1.45352387200202,0.81393558765552,-0.81393558765552,0.118960792222948,-0.118960792222948,0.287682072451781,-1,0,0,0.170298857653683,0.455519136181239,1.68128344009264
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",291.81,"Sakmarian","Paleozoic",0.441666666666667,0.0248734748104969,-0.504194057761202,2,4,0.585768725692999,0.769503310728268,1,1,0.205724005819944,1.22519627874894,0.529067532571699,0.529067532571699,0.183734585035269,-0.183734585035269,0.510825623765991,-2,0,0,0.612764905676477,-1.019472272929,0.715460142284445
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",296.21,"Asselian","Paleozoic",1.38461538461538,-0.473845491383101,-1.00947786312649,1,1,0.387298334620742,0.885451110247795,1,1,0.418201890719974,1.80292296990584,0.535632371743391,0.535632371743391,0.498152775627053,-0.498152775627053,0,0,0,0,0.681272995431613,-1.38472107918587,1.11056243031291
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",311.1,"Moscovian","Paleozoic",0.735294117647059,-0.191753354714297,-0.295367178460302,1,2,0.433012701892219,0.738229435177125,1,1,0.0736645645651635,2.08929738776065,0.103613823746005,0.103613823746005,0.305216733284906,-0.305216733284906,0.405465108108164,-1,0,0,1.05686605864517,-2.01563282319548,1.08148097616291
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",319.3,"Bashkirian","Paleozoic",1.49545454545455,-0.205321337525216,-0.24950572627783,1,1.5,1.2,0.536286589227368,1,1,1.07951192848354,0.918068745358174,0.0441843887526137,0.0441843887526137,0.663713410772632,0.663713410772632,0.22314355131421,-0.5,0,0,0.0808143983825193,0.161443183125365,0.998790336920857
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",338.5,"Visean","Paleozoic",0.91304347826087,0.0404674068317851,-0.127982145287289,1,1,0,0.908199712109756,1,1,0,1.7597380476526,0.168449552119074,0.168449552119074,0.908199712109756,-0.908199712109756,0,0,0,0,1.015135764954,-1.7597380476526,0.8798690238263
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",385.13,"Givetian","Paleozoic",0.82520325203252,0.352567685696501,-0.0219258519976363,1,4,0,0.664382364481768,1,1,0,0.426887984213997,0.374493537694138,0.374493537694138,0.664382364481768,-0.664382364481768,0.916290731874155,-3,0,0,0.355495838016278,-0.426887984213997,0.213443992106998
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",402.045,"Emsian","Paleozoic",2.75,-0.139908280924589,-0.126194470876257,2,4,0.964365076099295,0.547722557505166,1,2,1.45583878322933,0.513645937624345,0.0137138100483312,-0.0137138100483312,0.416642518594129,0.416642518594129,0.510825623765991,-2,0.405465108108164,-1,0.48394709735746,0.942192845604986,0.984742360426838
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",428.65,"Homerian","Paleozoic",1.5,-0.483383228239823,1.08344324507604,1.5,3,0.547101204432193,0.730233522395348,1,1,1.43940018122472,1.69494287613248,1.56682647331586,-1.56682647331586,0.183132317963155,-0.183132317963155,0.470003629245736,-1.5,0,0,0.0996248261783568,-0.255542694907759,1.5671715286786
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",435.75,"Telychian","Paleozoic",1.05,-0.433072045352522,-0.265991785777292,2,2,0.5,1.12915897906362,1,1,1.24581205032844,1.17334487466378,0.16708025957523,-0.16708025957523,0.629158979063621,-0.629158979063621,0,0,0,0,0.0327997731749693,0.0724671756646593,1.20957846249611
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",441.8,"Rhuddanian","Paleozoic",1.16666666666667,-0.259778549575506,0.646388620694222,2,3,0.5,0.668977476599572,1,1,1.08748028816305,1.80659709820525,0.906167170269727,-0.906167170269727,0.168977476599572,-0.168977476599572,0.287682072451781,-1,0,0,0.296015017514041,-0.719116810042197,1.44703869318415
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",449,"Katian","Paleozoic",1.34847198641766,-0.347521695137391,0.277603172906168,5,5,0.628648170777857,0.869286010801049,1,1,1.66957711329223,0.821949165736263,0.62512486804356,-0.62512486804356,0.240637840023192,-0.240637840023192,0,0,0,0,0.38201317713923,0.847627947555963,1.24576313951424
