"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
117.3,"Aptian","Northern",-0.409479586599915,45.357513803825,0.381720376150106,-1.15765152385412,0.338692350654292,0.298388547583547,0.0633986054225967,19,"grid_cell_all_cells_OLS","good","Northern",19,3,7.19887659860661,75.4880138837914,68.2891372851848,2036,107.157894736842,50,0.948525394170765,1.72718933272369,0.105263157894737,"normal_LDG",71,"Aptian","Apt",121.4,113.2,8.2,"Hothouse","#D6B6B7"
123.585,"Barremian","Northern",-0.403523276277294,53.8427488805189,0.859619382806271,-2.08837726657758,1.281330714023,0.655342261549518,0.0354249744644776,8,"grid_cell_all_cells_OLS","bad","Bad hemisphere",8,2,27.2928891757444,75.4880138837914,48.195124708047,180,22.5,19,0.834797790291673,1.69931122112038,0.25,"normal_LDG",70,"Barremian","Bar",125.77,121.4,4.37,"Hothouse","#D6B6B7"
129.185,"Hauterivian","Northern",-1.13274382092216,78.0072381217024,0.965414269511069,-3.02495578916385,0.759468147319537,0.285130431677993,0.186627000958044,8,"grid_cell_all_cells_OLS","bad","Bad hemisphere",8,2,33.8171496417592,58.282525589545,24.4653759477858,943,117.875,30,0.444277345441871,1.03371593383264,0,"normal_LDG",69,"Hauterivian","Hau",132.6,125.77,6.83,"Warmhouse","#DECABC"
134.825,"Valanginian","Northern",-0.685109813849255,76.5419418731187,0.501206771834823,-1.66747508664551,0.297255458946999,0.198935631413736,0.145197636222607,13,"grid_cell_all_cells_OLS","bad","Bad hemisphere",13,2,33.1679172221827,79.841380966896,46.6734637447133,962,74,32,0.663201853036744,1.60722901523434,0.0769230769230769,"normal_LDG",68,"Valanginian","Val",137.05,132.6,4.45,"Warmhouse","#DECABC"
140.075,"Berriasian","Northern",-0.17061772314046,49.045271370253,0.488138639194519,-1.12736945596172,0.786134009680798,0.731251613422255,0.00757771794099184,18,"grid_cell_all_cells_OLS","bad","Bad hemisphere",18,2,27.4317686094502,79.1899781183956,51.7582095089454,668,37.1111111111111,30.5,0.720039577373799,1.43449010539151,0,"normal_LDG",67,"Berriasian","Ber",143.1,137.05,6.05,"Warmhouse","#DECABC"
146.15,"Tithonian","Northern",-0.220208908778021,34.9989742324155,0.358851047799138,-0.923556962464331,0.483139144908289,0.548640327711126,0.0244896157013136,17,"grid_cell_all_cells_OLS","good","Northern",17,3,4.08531505163447,75.4880138838721,71.4026988322376,2524,148.470588235294,18,0.715838812133707,1.69931122112038,0.117647058823529,"normal_LDG",66,"Tithonian","Tit",149.2,143.1,6.1,"Warmhouse","#DECABC"
152,"Kimmeridgian","Northern",-0.130811445823444,33.0193286323259,0.554876899173659,-1.21837016820382,0.956747276556928,0.820376615939031,0.00787708700458293,9,"grid_cell_all_cells_OLS","good","Northern",9,3,5.59231793698182e-09,72.0740681049143,72.074068099322,1937,215.222222222222,80,0.704567317157465,1.42092395389674,0,"normal_LDG",65,"Kimmeridgian","Kim",154.8,149.2,5.6,"Transitional","#E4E4E4"
158.15,"Oxfordian","Northern",-0.382901811344689,39.4320324436171,0.327420448228688,-1.02464588987292,0.25884226718354,0.258358509751258,0.0744578552199178,19,"grid_cell_all_cells_OLS","good","Northern",19,3,5.59231793698182e-09,73.8495458980224,73.8495458924301,3921,206.368421052632,38,0.673682066837521,1.78020846153303,0.210526315789474,"normal_LDG",64,"Oxfordian","Oxf",161.5,154.8,6.7,"Transitional","#E4E4E4"
163.4,"Callovian","Northern",-0.979226972949207,63.5466403457172,0.376633693763951,-1.71742901272655,-0.241024933171863,0.0181014565973676,0.273012638411924,20,"grid_cell_all_cells_OLS","good","Northern",20,3,5.59231793698182e-09,55.7795906866156,55.7795906810233,2596,129.8,48,0.582727793705923,1.89327120758594,0.05,"normal_LDG",63,"Callovian","Cal",165.3,161.5,3.8,"Coolhouse","#B3D8D0"
166.75,"Bathonian","Northern",0.0322486181152892,19.8104524162795,0.377440086279832,-0.707533950993182,0.772031187223761,0.932805222614348,0.000384065894067103,21,"grid_cell_all_cells_OLS","good","Northern",21,3,5.59231793698182e-09,55.7795906866156,55.7795906810233,3781,180.047619047619,48,0.510118400659549,1.79629386996965,0.0952380952380952,"reverse_LDG",62,"Bathonian","Bat",168.2,165.3,2.9,"Coldhouse","#B2CCC7"
169.55,"Bajocian","Northern",-0.0297227767397685,16.4358011459264,0.300723247974395,-0.619140342769583,0.559694789290046,0.922162239210146,0.000443842892659664,24,"grid_cell_all_cells_OLS","good","Northern",24,3,5.59231793698182e-09,71.9435853518725,71.9435853462802,1891,78.7916666666667,36,0.771316519477187,1.96102357892451,0.125,"normal_LDG",61,"Bajocian","Baj",170.9,168.2,2.7,"Coolhouse","#B3D8D0"
172.8,"Aalenian","Northern",-0.156359052678571,30.4038345998349,0.620207688521868,-1.37196612218143,1.05924801682429,0.805606354020158,0.00574482685293038,13,"grid_cell_all_cells_OLS","bad","Bad hemisphere",13,2,21.1896109382409,72.0740681024471,50.8844571642062,1146,88.1538461538462,58,0.49188335254225,1.9163023606767,0.0769230769230769,"normal_LDG",60,"Aalenian","Aal",174.7,170.9,3.8,"Transitional","#E4E4E4"
179.45,"Toarcian","Northern",-0.0972806488769346,34.0029782692158,0.323325188232632,-0.730998017812893,0.536436720059023,0.76646810391177,0.0042922640009288,23,"grid_cell_all_cells_OLS","good","Northern",23,3,5.59231793698182e-09,75.4880138838721,75.4880138782798,5097,221.608695652174,41,0.611452169547496,1.69931122112038,0.0869565217391304,"normal_LDG",59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
188.55,"Pliensbachian","Northern",-0.36478358248178,46.974542089865,0.348276953970114,-1.0474064122632,0.317839247299645,0.305800081052569,0.0455257864792459,25,"grid_cell_all_cells_OLS","good","Northern",25,3,7.26849383904668,82.9884517635243,75.7199579244776,5042,201.68,31,0.651601385169457,1.85262588837693,0.16,"normal_LDG",58,"Pliensbachian","Plb",192.9,184.2,8.7,"Transitional","#E4E4E4"
196.2,"Sinemurian","Northern",-0.601021030038391,58.9666112761111,0.455129601989378,-1.49307504993757,0.29103298986079,0.204154930267265,0.0930358577714713,19,"grid_cell_all_cells_OLS","good","Northern",19,3,12.0022333469104,67.5278428630317,55.5256095161213,1504,79.1578947368421,44,0.814806724999517,1.99360975604642,0.105263157894737,"normal_LDG",57,"Sinemurian","Sin",199.5,192.9,6.6,"Transitional","#E4E4E4"
