"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
52.035,"Ypresian","Cenozoic",0.160823803034294,0.20813444290643,1,0,1.3331139767735,1.92506684375924,1.72222222222222,0.444444444444444,2.05645161290323,0.047310639872136,-0.047310639872136,0.59195286698574,-0.59195286698574,0.226113486976189,1,0.693147180559945,1,1.27777777777778,0.633723760089144,1.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
69.1,"Maastrichtian","Mesozoic",0.1540192588076,-0.120068894023084,2,1,1.15015000076046,1.14430443886195,3.27777777777778,0.722222222222222,0.576923076923077,0.274088152830684,0.274088152830684,0.00584556189850982,0.00584556189850982,0.00272237863550979,1,0.405465108108164,1,2.55555555555556,0.909818217368538,2.55555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
77.9,"Campanian","Mesozoic",-0.239838094326181,0.232903894905049,3.5,0.5,0.947194270573462,1.79434887219572,4.11111111111111,0.777777777777778,0.333011583011583,0.47274198923123,-0.47274198923123,0.847154601622258,-0.847154601622258,0.361209616965588,3,1.09861228866811,3,3.33333333333333,1.05605267424931,3.33333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
87.75,"Coniacian","Mesozoic",-0.194098869073952,-0.73999009386462,1,0,1.33868622957292,1.78226557735801,2.11111111111111,0.333333333333333,2,0.545891224790668,0.545891224790668,0.44357934778509,-0.44357934778509,0.173676220340978,1,0.693147180559945,1,1.77777777777778,0.847297860387203,1.77777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
91.85,"Turonian","Mesozoic",-0.0828852461270176,-0.300579338470887,3,0,0.890283686257817,1.48715348185512,3.88888888888889,0.722222222222222,0.257142857142857,0.217694092343869,0.217694092343869,0.596869795597303,-0.596869795597303,0.274411960213102,3,1.38629436111989,3,3.16666666666667,1.04334960999306,3.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
97.2,"Cenomanian","Mesozoic",-0.0457193395791513,0.0411521493205399,3.5,1,0.925156673409692,0.8102287258764,4.38888888888889,1.11111111111111,1.23607594936709,0.0868714888996912,-0.0868714888996912,0.114927947533292,0.114927947533292,0.0615541480306163,2.5,0.810930216216329,2.5,3.27777777777778,0.937124818776998,3.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
106.85,"Albian","Mesozoic",-0.147712264153037,0.047748094513451,2,1,0.81457314697006,0.992110050821569,2.5,1.38888888888889,0.151111111111111,0.195460358666488,-0.195460358666488,0.177536903851509,-0.177536903851509,0.093344144708011,1,0.405465108108164,1,1.11111111111111,0.38193461069797,1.11111111111111,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
117.3,"Aptian","Mesozoic",-0.262421201951623,0.0389482569211601,1.5,1,1.00008146971377,1.02899151085505,2.11111111111111,0.833333333333333,0.197368421052632,0.301369458872783,-0.301369458872783,0.0289100411412799,-0.0289100411412799,0.0143509623418965,0.5,0.22314355131421,0.5,1.27777777777778,0.528844129268669,1.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
123.585,"Barremian","Mesozoic",-0.0380883886671526,0.0618813536346324,1,0,1.04598072650151,1.99939966980488,1.61111111111111,0.388888888888889,0.224137931034483,0.099969742301785,-0.099969742301785,0.95341894330337,-0.95341894330337,0.382534911180552,1,0.693147180559945,1,1.22222222222222,0.631271776841857,1.22222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
129.185,"Hauterivian","Mesozoic",-0.263513655517311,-0.184698693677988,1,0,1.23669388480168,1.78226557735801,1.5,0.333333333333333,0.185185185185185,0.078814961839323,-0.078814961839323,0.54557169255633,-0.54557169255633,0.218266720387192,1,0.693147180559945,1,1.16666666666667,0.628608659422374,1.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
134.825,"Valanginian","Mesozoic",0.0427439464477948,0.184609029878989,2,0,0.85801533844317,1.79434887219572,2.11111111111111,0.388888888888889,0.757518796992481,0.141865083431194,-0.141865083431194,0.93633353375255,-0.93633353375255,0.408090222110839,2,1.09861228866811,2,1.72222222222222,0.806475865866948,1.72222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
146.15,"Tithonian","Mesozoic",0.00697093646636936,-0.0191550642353832,1,0,0.975999386038186,1.5400534750074,1.88888888888889,0.555555555555556,0.191176470588235,0.0261260007017526,0.0261260007017526,0.564054088969214,-0.564054088969214,0.251110845345143,1,0.693147180559945,1,1.33333333333333,0.619039208406224,1.33333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
152,"Kimmeridgian","Mesozoic",-0.324969665674655,-0.210396530637108,1.5,0,1.08898225556764,1.48715348185512,1.66666666666667,0.722222222222222,0.615384615384615,0.114573135037547,-0.114573135037547,0.39817122628748,-0.39817122628748,0.174461888254995,1.5,0.916290731874155,1.5,0.944444444444448,0.437213806422746,0.944444444444448,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
158.15,"Oxfordian","Mesozoic",-0.134598439538051,-0.277137916390315,1,0.5,1.33677280885692,1.30564385739486,2.27777777777778,1.11111111111111,1.275,0.142539476852264,0.142539476852264,0.0311289514620599,0.0311289514620599,0.0134108677644911,0.5,0.287682072451781,0.5,1.16666666666667,0.439951284179335,1.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
163.4,"Callovian","Mesozoic",-0.854238415270186,-0.255678053288893,1,1,1.39560467837445,1.03287451148591,1.5,1.27777777777778,0.978260869565217,0.598560361981293,-0.598560361981293,0.36273016688854,0.36273016688854,0.164184867349826,0,0,0,0.22222222222222,0.093090423066011,0.22222222222222,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
166.75,"Bathonian","Mesozoic",0.0911448835650981,-0.738959394897707,2,0,1.20160320712774,1.32684929954252,1.83333333333333,0.722222222222222,1.61538461538462,0.830104278462805,0.830104278462805,0.12524609241478,-0.12524609241478,0.0553292950492156,2,1.09861228866811,2,1.11111111111111,0.497838428239179,1.11111111111111,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
169.55,"Bajocian","Mesozoic",-0.174668992131453,-0.352031159364308,1,0.5,1.21608087646506,1.18222123937253,1.83333333333333,0.833333333333333,1.5,0.177362167232855,0.177362167232855,0.0338596370925299,0.0338596370925299,0.01539698961818,0.5,0.287682072451781,0.5,0.999999999999997,0.435318071257844,0.999999999999997,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
179.45,"Toarcian","Mesozoic",-0.196979166622486,-0.453200894007518,1,0,1.28058810019184,1.32684929954252,2.77777777777778,0.722222222222222,1,0.256221727385032,0.256221727385032,0.0462611993506801,-0.0462611993506801,0.0200817721444226,1,0.693147180559945,1,2.05555555555556,0.785520500690961,2.05555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
188.55,"Pliensbachian","Mesozoic",-0.0758890245969537,-0.615248106271076,1.5,0.5,1.04972772562527,1.14430443886195,3.61111111111111,0.722222222222222,0.130769230769231,0.539359081674122,0.539359081674122,0.0945767132366802,-0.0945767132366802,0.0451082613047372,1,0.510825623765991,1,2.88888888888889,0.984853403311452,2.88888888888889,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
196.2,"Sinemurian","Mesozoic",0.0688215103113855,-0.0941606702397176,1.5,0,1.01528406600445,1.5400534750074,2.55555555555556,0.555555555555556,0.480434782608696,0.162982180551103,0.162982180551103,0.52476940900295,-0.52476940900295,0.231424972814251,1.5,0.916290731874155,1.5,2,0.826678573184469,2,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
