"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","n_lat_bins_observed","n_high_lat_bins_observed","n_high_lat_bins_expected","prop_high_lat_bins_observed","has_high_lat_data"
444.15,"Hirnantian","Southern","good",23,1,0.0434782608695652,4,1,1,1,TRUE
449,"Katian","Northern","good",24,0,0,3,0,1,0,FALSE
449,"Katian","Southern","good",68,7,0.102941176470588,6,1,1,1,TRUE
455.5,"Sandbian","Northern","bad",16,0,0,2,0,1,0,FALSE
455.5,"Sandbian","Southern","good",53,4,0.0754716981132075,6,1,1,1,TRUE
463.8,"Darriwilian","Northern","good",22,0,0,3,0,1,0,FALSE
463.8,"Darriwilian","Southern","good",59,12,0.203389830508475,5,1,1,1,TRUE
470.35,"Dapingian","Northern","good",3,0,0,3,0,1,0,FALSE
470.35,"Dapingian","Southern","bad",8,0,0,2,0,1,0,FALSE
474.2,"Floian","Northern","good",19,0,0,4,0,1,0,FALSE
474.2,"Floian","Southern","good",39,6,0.153846153846154,6,1,1,1,TRUE
481.975,"Tremadocian","Northern","good",16,0,0,3,0,1,0,FALSE
481.975,"Tremadocian","Southern","good",45,5,0.111111111111111,6,1,1,1,TRUE
