"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim"
35.805,0.105718377943241,9.49658559070779,"q50","Northern","good","Northern",36,4230,117.5,70,5,4.070945924,50.63018432,46.559238396,0.968539540482135,1.90131441323529,0.111111111111111,2,17,7.2,5,0.847108371220939,0.277777777777778,0.472222222222222,0
39.37,-0.0859972326888691,21.1290245102116,"q50","Northern","good","Northern",32,10055,314.21875,74.5,5,16.07518153,62.12641536,46.05123383,0.834629580453129,1.749144415,0.15625,1,18,6.4,3,1.09709310509637,0.15625,0.5625,0.9
44.55,-0.033847504962562,11.1492241513466,"q50","Northern","good","Northern",33,7361,223.060606060606,67,6,8.131051737,62.43585177,54.304800033,0.73216107799511,1.80817574380952,0.0909090909090909,1,17,5.5,3,1.14848085071664,0.181818181818182,0.515151515151515,1.5
52.035,0.372257421947163,12.9837469968969,"q50","Northern","good","Northern",26,5364,206.307692307692,112,4,5.447282134,51.99328411,46.546001976,0.701830466941118,1.76764227468354,0.0384615384615385,2,15,6.5,4.5,0.944202699462665,0.307692307692308,0.576923076923077,1.92857142857143
57.62,-0.663051172084063,68.7127332770279,"q50","Northern","bad","Bad hemisphere",14,1913,136.642857142857,67,3,30.22505177,72.0740681,41.84901633,0.685923116629071,1.4715517396875,0,1,11,4.66666666666667,2,1.18019368870416,0.214285714285714,0.785714285714286,1.5
60.45,0.354031999827323,58.0228386022312,"q50","Northern","bad","Bad hemisphere",4,1146,286.5,271.5,3,33.9767838,61.7098756,27.7330918,0.807599764003136,1.49842938591549,0,1,2,1.33333333333333,1,0.433012701892219,0.75,0.5,0
63.83,0.749956725481652,4.05548706705705,"q50","Northern","bad","Bad hemisphere",11,1952,177.454545454545,59,2,33.02985879,44.32775068,11.29789189,0.64451874014678,1.11339737758621,0,2,9,5.5,5.5,0.899954085146515,0.363636363636364,0.818181818181818,0
69.1,0.399289383584712,0.449954232236212,"q50","Northern","good","Northern",45,15041,334.244444444444,65,5,4.739120661,56.24836738,51.509246719,0.681140802313973,1.8717747372,0.111111111111111,3,23,9,6,0.926296222251837,0.333333333333333,0.511111111111111,0
77.9,-0.150854820376979,17.420740457726,"q50","Northern","good","Northern",67,6166,92.0298507462687,33,6,2.514673825,78.07096538,75.556291555,0.738905659893305,1.9531236037037,0.104477611940299,2,24,11.1666666666667,8.5,0.775372775199951,0.17910447761194,0.358208955223881,1.35
84.65,-0.522515223987866,36.1744013993886,"q50","Northern","good","Northern",24,1096,45.6666666666667,24.5,4,9.820804984,53.88599078,44.065185796,0.602508684150158,1.60722901555556,0.0416666666666667,1,11,6,6,0.871354841186562,0.166666666666667,0.458333333333333,0
87.75,-0.497732792748255,29.4147344103562,"q50","Northern","good","Northern",23,539,23.4347826086957,13,4,11.95491105,54.46981084,42.51489979,0.651611460935927,1.6993112212,0.0434782608695652,2,10,5.75,5.5,0.756405121779704,0.347826086956522,0.434782608695652,1.125
91.85,-0.00898410353173308,17.5603807190151,"q50","Northern","good","Northern",49,2577,52.5918367346939,19,6,4.104899675,64.03361656,59.928716885,0.817375426097385,1.86005035318182,0.122448979591837,1,18,8.16666666666667,8,0.810078127257833,0.122448979591837,0.36734693877551,1.5
97.2,-0.225953035629599,22.4431634387468,"q50","Northern","good","Northern",50,4533,90.66,25,6,6.15e-09,62.21416854,62.21416853385,0.776143500732037,1.80824644810811,0.14,2,21,8.33333333333333,6.5,0.812699206348819,0.24,0.42,0.75
