"bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_min_Northern","k_min_Southern","k_median_Northern","k_median_Southern","n_cells_Northern","n_cells_Southern","n_valid_lat_bins_Northern","n_valid_lat_bins_Southern","k_cv_Northern","k_cv_Southern","slope_diff_abs","k_min_asym","k_median_asym","n_cells_asym","n_lat_bins_diff","k_cv_diff"
77.9,"Campanian","Mesozoic",1.35,-0.0385414083964534,0.153892722114728,2,1,8.5,1,67,10,6,5,0.775372775199951,0.707106781186548,0.192434130511181,0.405465108108164,1.55814461804655,1.82161243237774,1,0.0682659940134029
97.2,"Cenomanian","Mesozoic",0.75,-0.414138322643402,-0.34616087610593,2,1,6.5,1,50,6,6,4,0.812699206348819,0.666666666666667,0.067977446537472,0.405465108108164,1.32175583998232,1.98591548366901,2,0.146032539682152
106.85,"Albian","Mesozoic",0.473684210526316,-0.454879344540929,0.08816731017355,1,1,5,2.5,36,19,6,6,0.691214711777591,0.731560014900802,0.543046654714479,0,0.538996500732687,0.615185639090233,0,0.0403453031232111
117.3,"Aptian","Mesozoic",0.5625,-0.192292089952889,0.0603936065034233,1,1,2.5,1,24,8,6,5,1.04880884817015,0.559016994374947,0.252685696456312,0,0.559615787935423,1.02165124753198,1,0.489791853795203
123.585,"Barremian","Mesozoic",0,-0.470207882778659,-1.0699368221927,1,1,2,1,10,3,4,3,0.692820323027551,0,0.599728939414041,0,0.405465108108164,1.01160091167848,1,0.692820323027551
158.15,"Oxfordian","Mesozoic",1.2,-0.345292816433499,-0.444644400891505,2,1,2,4.5,25,15,5,4,0.894427190999916,0.504791852960024,0.099351584458006,0.405465108108164,0.606135803570316,0.485507815781701,1,0.389635338039892
163.4,"Callovian","Mesozoic",0.9,-1.12921548120311,-0.082541336745828,1,2,3,3.5,24,15,5,4,0.936341877260176,0.455420034042649,1.04667414445728,0.405465108108164,0.117783035656384,0.44628710262842,1,0.480921843217527
166.75,"Bathonian","Mesozoic",1.125,-0.435937936784485,-0.507638927380946,1,2,6,3,26,12,5,4,0.614181516256589,0.272165526975909,0.071700990596461,0.405465108108164,0.559615787935423,0.730887508542792,1,0.34201598928068
169.55,"Bajocian","Mesozoic",0.9,-0.563628879193448,-0.450885572212344,1,1,3,2.5,29,10,6,4,1.10581642433461,0.516397779494322,0.112743306981104,0,0.133531392624523,1.00330210886378,2,0.589418644840288
179.45,"Toarcian","Mesozoic",0.375,-0.0737369934467504,-0.353029446394217,1,1,4,1.5,38,12,6,6,1.10601478202642,0.632455532033676,0.279292452947467,0,0.693147180559945,1.09861228866811,0,0.473559249992744
