"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","p_value","r_squared","n_cells_model","resample_id","k_sample"
402.045,"Emsian","Northern",-0.0276159008574812,21.6486258844235,0.637906728380177,0.969402661842506,0.000936197102324042,4,17,1
402.045,"Emsian","Northern",0.23341600476962,13.5290205371919,0.518874932641517,0.696873942658264,0.0918854066395454,4,18,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,19,1
402.045,"Emsian","Northern",0.179714910412612,16.5217063744117,0.573564690293217,0.783687911338535,0.0467909197010853,4,20,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,21,1
402.045,"Emsian","Northern",0.23341600476962,13.5290205371919,0.518874932641517,0.696873942658264,0.0918854066395454,4,22,1
402.045,"Emsian","Northern",0.23341600476962,13.5290205371919,0.518874932641517,0.696873942658264,0.0918854066395454,4,23,1
402.045,"Emsian","Northern",-0.0276159008574812,21.6486258844235,0.637906728380177,0.969402661842506,0.000936197102324042,4,24,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,25,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,26,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,27,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,28,1
402.045,"Emsian","Northern",-0.109772299559017,25.6702561037168,0.802434281489114,0.903717825392669,0.00927025714711647,4,29,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,30,1
402.045,"Emsian","Northern",0.3169117695863,12.6209528539536,0.534256250678005,0.613203572733537,0.1496114761461,4,31,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,32,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,33,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,34,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,35,1
402.045,"Emsian","Northern",-0.109772299559017,25.6702561037168,0.802434281489114,0.903717825392669,0.00927025714711647,4,36,1
402.045,"Emsian","Northern",0.3169117695863,12.6209528539536,0.534256250678005,0.613203572733537,0.1496114761461,4,37,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,38,1
402.045,"Emsian","Northern",0.23341600476962,13.5290205371919,0.518874932641517,0.696873942658264,0.0918854066395454,4,39,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,40,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,41,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,42,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,43,1
402.045,"Emsian","Northern",0.3169117695863,12.6209528539536,0.534256250678005,0.613203572733537,0.1496114761461,4,44,1
402.045,"Emsian","Northern",0.3169117695863,12.6209528539536,0.534256250678005,0.613203572733537,0.1496114761461,4,45,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,46,1
402.045,"Emsian","Northern",-0.584836081525931,39.546559747603,1.02584698413695,0.626114423818272,0.139790424076743,4,47,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,48,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,49,1
402.045,"Emsian","Northern",-0.109772299559017,25.6702561037168,0.802434281489114,0.903717825392669,0.00927025714711647,4,50,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,51,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,52,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,53,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,54,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,55,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,56,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,57,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,58,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,59,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,60,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,61,1
402.045,"Emsian","Northern",0.179714910412612,16.5217063744117,0.573564690293217,0.783687911338535,0.0467909197010853,4,62,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,63,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,64,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,65,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,66,1
402.045,"Emsian","Northern",0.179714910412612,16.5217063744117,0.573564690293217,0.783687911338535,0.0467909197010853,4,67,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,68,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,69,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,70,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,71,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,72,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,73,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,74,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,75,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,76,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,77,1
402.045,"Emsian","Northern",-0.0276159008574812,21.6486258844235,0.637906728380177,0.969402661842506,0.000936197102324042,4,78,1
402.045,"Emsian","Northern",-0.584836081525931,39.546559747603,1.02584698413695,0.626114423818272,0.139790424076743,4,79,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,80,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,81,1
402.045,"Emsian","Northern",0.492278423204609,7.14398801151853,0.414459764525517,0.356865101187507,0.413622498070556,4,82,1
402.045,"Emsian","Northern",-0.584836081525931,39.546559747603,1.02584698413695,0.626114423818272,0.139790424076743,4,83,1
402.045,"Emsian","Northern",0.0527410284181107,18.819216821902,0.552704581804337,0.932678444583364,0.0045321918237151,4,84,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,85,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,86,1
402.045,"Emsian","Northern",0.179714910412612,16.5217063744117,0.573564690293217,0.783687911338535,0.0467909197010853,4,87,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,88,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,89,1
402.045,"Emsian","Northern",-0.584836081525931,39.546559747603,1.02584698413695,0.626114423818272,0.139790424076743,4,90,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,91,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,92,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,93,1
402.045,"Emsian","Northern",0.110546803983417,17.20107923328,0.551133931696078,0.85957345849492,0.0197196135590779,4,94,1
402.045,"Emsian","Northern",0.404624856712221,7.96392565421726,0.416017863495343,0.433335755836443,0.321108365613455,4,95,1
402.045,"Emsian","Northern",0.113594395457043,18.2859995010342,0.576553604025874,0.862016241096733,0.0190395177210748,4,96,1
402.045,"Emsian","Northern",-0.164074508495423,26.2737697182887,0.757996213222193,0.848702892229148,0.0228908148198248,4,97,1
402.045,"Emsian","Northern",0.179714910412612,16.5217063744117,0.573564690293217,0.783687911338535,0.0467909197010853,4,98,1
402.045,"Emsian","Northern",-0.599377145993347,39.6226470476993,0.967031402387373,0.598587091125726,0.161132323410906,4,99,1
402.045,"Emsian","Northern",0.0332037233859881,21.0282163291595,0.670380142914284,0.964998677106807,0.00122509260427358,4,100,1
402.045,"Emsian","Southern",-0.421697211979153,47.3063091007297,0.314015620671699,0.198040038706028,0.101296702257335,18,1,3
402.045,"Emsian","Southern",-0.0831450563759362,34.3538494588742,0.325257437145244,0.801494947222695,0.00406750702795882,18,2,3
402.045,"Emsian","Southern",-0.237316770437825,43.5016490980648,0.297385888665667,0.436549595933166,0.0382777012514491,18,3,3
402.045,"Emsian","Southern",-0.283786302647501,42.4826234385031,0.278135849849875,0.322759618453566,0.0610903666490526,18,4,3
402.045,"Emsian","Southern",-0.340147887281078,42.9132900970469,0.332747168483079,0.321875211948638,0.0613070464247751,18,5,3
402.045,"Emsian","Southern",-0.36202210956552,43.3709443289263,0.335812035502607,0.296996988112906,0.0677181262634231,18,6,3
402.045,"Emsian","Southern",-0.146593492656319,40.5736650765952,0.362195244987745,0.691030901626762,0.0101344485772419,18,7,3
402.045,"Emsian","Southern",-0.0785887794642354,33.8385993652723,0.369607628700185,0.834302755205296,0.0028176939279568,18,8,3
402.045,"Emsian","Southern",-0.263106899693201,40.7314694483452,0.249488158554063,0.307279835816659,0.0649920058128125,18,9,3
402.045,"Emsian","Southern",-0.545506742341266,48.8141066318586,0.299646572519465,0.0874386116748095,0.171594907179979,18,10,3
402.045,"Emsian","Southern",-0.0431337190047044,42.8012429884869,0.333771263340205,0.898785182579217,0.00104270837801071,18,11,3
