"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","bin","stage","short","bottom","top","dur","climate_state","climate_color"
296.21,-0.418768439647988,39.0015488888766,"q50","Northern","good","Northern",40,"Asselian","Ass",298.9,293.52,5.38,"Coolhouse","#007d65"
301.3,-0.792691494748238,43.5004450339033,"q50","Northern","good","Northern",39,"Gzhelian","Gzh",303.7,298.9,4.8,"Coldhouse","#005344"
305.35,-0.415401649879651,18.2049337904494,"q50","Northern","bad","Bad hemisphere",38,"Kasimovian","Kas",307,303.7,3.3,"Coldhouse","#005344"
311.1,-0.12504778046321,9.28572899158932,"q50","Northern","good","Northern",37,"Moscovian","Mos",315.2,307,8.2,"Coldhouse","#005344"
319.3,-0.255415363350371,35.9513793831686,"q50","Northern","good","Northern",36,"Bashkirian","Bas",323.4,315.2,8.2,"Coldhouse","#005344"
326.85,-1.74665613120207,46.5980916784529,"q50","Northern","good","Northern",35,"Serpukhovian","Ser",330.3,323.4,6.9,"Coldhouse","#005344"
338.5,0.06344710985995,4.84925119760436,"q50","Northern","good","Northern",34,"Visean","Vis",346.7,330.3,16.4,"Coldhouse","#005344"
352.78,-0.435007512560067,22.9504212846169,"q50","Northern","bad","Bad hemisphere",33,"Tournaisian","Tou",358.86,346.7,12.16,"Coolhouse","#007d65"
365.505,-0.221307998652551,8.79233211145831,"q50","Northern","bad","Bad hemisphere",32,"Famennian","Fam",372.15,358.86,13.29,"Transitional","#c8c7c7"
377.23,-0.69860983694491,74.9168811504466,"q50","Northern","bad","Bad hemisphere",31,"Frasnian","Fra",382.31,372.15,10.16,"Warmhouse","#b57a51"
385.13,0.346325318567736,5.05376799349031,"q50","Northern","good","Northern",30,"Givetian","Giv",387.95,382.31,5.64,"Warmhouse","#b57a51"
402.045,-0.173927330291252,26.7914896670637,"q50","Northern","good","Northern",28,"Emsian","Ems",410.62,393.47,17.15,"Transitional","#c8c7c7"
411.82,1.6932517055058,10.9773296868509,"q50","Northern","good","Northern",27,"Pragian","Pra",413.02,410.62,2.4,"Hothouse","#95484b"
416.32,-1.16673675935798,29.3845670701672,"q50","Northern","good","Northern",26,"Lochkovian","Loc",419.62,413.02,6.6,"Hothouse","#95484b"
421.16,-1.79091090788147,39.2649619532564,"q50","Northern","bad","Bad hemisphere",25,"Pridoli","Pri",422.7,419.62,3.08,"Hothouse","#95484b"
428.65,-0.442095051361238,33.369770930641,"q50","Northern","good","Northern",22,"Homerian","Hom",430.6,426.7,3.9,"Coolhouse","#007d65"
435.75,-0.512351645927608,32.4392908819384,"q50","Northern","good","Northern",20,"Telychian","Tel",438.6,432.9,5.7,"Transitional","#c8c7c7"
439.55,7.80927662828031,-30.7405415114113,"q50","Northern","bad","Bad hemisphere",19,"Aeronian","Aer",440.5,438.6,1.9,"Coolhouse","#007d65"
441.8,-0.236639308329551,42.6280508826382,"q50","Northern","good","Northern",18,"Rhuddanian","Rhu",443.1,440.5,2.6,"Coolhouse","#007d65"
444.15,-0.35354394703376,32.7691957288798,"q50","Northern","good","Northern",17,"Hirnantian","Hir",445.2,443.1,2.1,"Coolhouse","#007d65"
449,-0.45831782000296,23.1955421742201,"q50","Northern","good","Northern",16,"Katian","Kat",452.8,445.2,7.6,"Warmhouse","#b57a51"
