"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","method","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
84.65,"Santonian","Northern",-0.050417323984615,NA,NA,NA,NA,22.7644856477687,0.466427143987298,0.91490201668997,0.000530809490201837,24,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",24,1096,45.6666666666667,24.5,4,9.820804984,53.88599078,44.065185796,0.602508684150158,1.60722901555556,0.0416666666666667,1,11,6,6,0.871354841186562,0.166666666666667,0.458333333333333,0,"normal_LDG",76,"Santonian","San",85.7,83.6,2.1,"Hothouse","#95484b"
87.75,"Coniacian","Northern",-0.354301281454387,NA,NA,NA,NA,26.3043620943889,0.204515434796025,0.097866945466217,0.125043326806014,23,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",23,539,23.4347826086957,13,4,11.95491105,54.46981084,42.51489979,0.651611460935927,1.6993112212,0.0434782608695652,2,10,5.75,5.5,0.756405121779704,0.347826086956522,0.434782608695652,1.125,"normal_LDG",75,"Coniacian","Con",89.8,85.7,4.1,"Hothouse","#95484b"
91.85,"Turonian","Northern",-0.0529161393384735,NA,NA,NA,NA,25.6818870983119,0.237338647204448,0.824535699426943,0.00105653145460441,49,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",49,2577,52.5918367346939,19,6,4.104899675,64.03361656,59.928716885,0.817375426097385,1.86005035318182,0.122448979591837,1,18,8.16666666666667,8,0.810078127257833,0.122448979591837,0.36734693877551,1.5,"normal_LDG",74,"Turonian","Tur",93.9,89.8,4.1,"Hothouse","#95484b"
97.2,"Cenomanian","Northern",-0.37500659657326,NA,NA,NA,NA,36.7836451147991,0.25205417812123,0.143343736795045,0.0440827883389091,50,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",50,4533,90.66,25,6,6.15e-09,62.21416854,62.21416853385,0.776143500732037,1.80824644810811,0.14,2,21,8.33333333333333,6.5,0.812699206348819,0.24,0.42,0.75,"normal_LDG",73,"Cenomanian","Cen",100.5,93.9,6.6,"Hothouse","#95484b"
106.85,"Albian","Northern",-0.334977094187336,NA,NA,NA,NA,34.1607073961928,0.233529833553485,0.160590291479738,0.0570623362103792,36,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",36,2175,60.4166666666667,21,6,1.320576367,79.94533967,78.624763303,0.803017100255697,1.6993112212,0.166666666666667,1,13,6,5,0.691214711777591,0.166666666666667,0.361111111111111,0.473684210526316,"normal_LDG",72,"Albian","Alb",113.2,100.5,12.7,"Warmhouse","#b57a51"
117.3,"Aptian","Northern",-0.170059269749823,NA,NA,NA,NA,32.1845462657579,0.402250819208265,0.676567326948365,0.00805879292380371,24,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",24,1881,78.375,36.5,6,7.265914649,70.82154197,63.555627321,1.03457700900085,1.954963814,0.166666666666667,1,12,4,2.5,1.04880884817015,0.25,0.5,0.5625,"normal_LDG",71,"Aptian","Apt",121.4,113.2,8.2,"Hothouse","#95484b"
123.585,"Barremian","Northern",-0.6202040383471,NA,NA,NA,NA,66.6669532625666,0.81818008518415,0.470172116118199,0.0670126999124784,10,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",10,180,18,11.5,4,25.07091636,72.81388293,47.74296657,0.699139452168766,1.2091164624,0,1,5,2.5,2,0.692820323027551,0.4,0.5,0,"normal_LDG",70,"Barremian","Bar",125.77,121.4,4.37,"Hothouse","#95484b"
129.185,"Hauterivian","Northern",-1.44332111281242,NA,NA,NA,NA,90.4620572845609,0.857749151034769,0.11628402181198,0.178848490329432,15,NA,1,0,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",15,854,56.9333333333333,21,3,31.67335741,58.28252559,26.60916818,0.564953435707854,1.14251136181818,0,1,10,5,4,0.916515138991168,0.2,0.666666666666667,0,"normal_LDG",69,"Hauterivian","Hau",132.6,125.77,6.83,"Warmhouse","#b57a51"
134.825,"Valanginian","Northern",-0.377907102378971,NA,NA,NA,NA,53.7784750290649,0.34782407834774,0.292428788938115,0.0649300869010223,19,NA,1,0,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",19,958,50.4210526315789,24,3,31.67335741,79.84138097,48.16802356,0.851146133052507,1.6993112212,0.0526315789473684,3,9,6.33333333333333,7,0.48237638894272,0.473684210526316,0.473684210526316,0.642857142857143,"normal_LDG",68,"Valanginian","Val",137.05,132.6,4.45,"Warmhouse","#b57a51"
140.075,"Berriasian","Northern",0.271074957359225,NA,NA,NA,NA,17.927803942693,0.439852132671529,0.544328752533015,0.0177648509745732,23,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",23,619,26.9130434782609,17,4,25.32134379,77.73177818,52.41043439,0.801979065501204,1.73081931714286,0.0869565217391304,1,12,5.75,5,0.844568248367157,0.173913043478261,0.521739130434783,0,"reverse_LDG",67,"Berriasian","Ber",143.1,137.05,6.05,"Warmhouse","#b57a51"
