"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","has_high_lat_cells","max_abs_lat","median_abs_lat"
256.825,"Wuchiapingian","Southern","good",32,9,0.28125,TRUE,79.84138096,49.48694269
261.895,"Capitanian","Northern","good",26,6,0.230769230769231,TRUE,75.94987466,30.760955755
261.895,"Capitanian","Southern","good",14,1,0.0714285714285714,TRUE,74.43377065,18.91339333
265.59,"Wordian","Northern","good",20,4,0.2,TRUE,79.18997812,31.467325785
265.59,"Wordian","Southern","good",27,10,0.37037037037037,TRUE,80.29781125,36.12806262
270.65,"Roadian","Northern","good",38,6,0.157894736842105,TRUE,73.61127037,31.06837113
270.65,"Roadian","Southern","good",21,5,0.238095238095238,TRUE,71.71225682,36.12806262
278.85,"Kungurian","Northern","good",37,5,0.135135135135135,TRUE,70.73372045,23.90266015
278.85,"Kungurian","Southern","good",23,5,0.217391304347826,TRUE,77.73177818,37.78714427
286.7,"Artinskian","Northern","good",21,0,0,FALSE,41.5435043,33.36576781
286.7,"Artinskian","Southern","good",23,5,0.217391304347826,TRUE,73.66054641,56.53581678
291.81,"Sakmarian","Northern","good",24,5,0.208333333333333,TRUE,67.42522977,33.1272409
291.81,"Sakmarian","Southern","good",29,6,0.206896551724138,TRUE,71.71225682,48.13065385
296.21,"Asselian","Northern","good",15,3,0.2,TRUE,64.8793186,29.34809639
296.21,"Asselian","Southern","good",17,0,0,FALSE,59.99392079,29.08397239
301.3,"Gzhelian","Northern","good",6,1,0.166666666666667,TRUE,62.33227921,25.189620865
301.3,"Gzhelian","Southern","good",9,0,0,FALSE,33.23106961,4.070945921
305.35,"Kasimovian","Northern","bad",2,0,0,FALSE,36.91570949,32.99367836
305.35,"Kasimovian","Southern","bad",10,0,0,FALSE,6.813752997,4.0139649715
311.1,"Moscovian","Northern","good",5,0,0,FALSE,34.5127684,18.651389
311.1,"Moscovian","Southern","good",18,0,0,FALSE,45.8181579,7.535851269
319.3,"Bashkirian","Northern","good",10,0,0,FALSE,56.73585976,4.495517563
319.3,"Bashkirian","Southern","good",13,1,0.0769230769230769,TRUE,63.2969896,23.41011377
326.85,"Serpukhovian","Northern","bad",10,0,0,FALSE,19.81215675,5.432447261
326.85,"Serpukhovian","Southern","good",14,0,0,FALSE,44.18480028,11.998091865
338.5,"Visean","Northern","good",4,0,0,FALSE,27.63160486,12.719293074
338.5,"Visean","Southern","good",23,0,0,FALSE,44.18480028,13.44414403
352.78,"Tournaisian","Northern","bad",2,0,0,FALSE,9.453036864,6.099510727
352.78,"Tournaisian","Southern","good",35,0,0,FALSE,49.07171152,17.31131373
365.505,"Famennian","Northern","bad",4,0,0,FALSE,15.90454383,1.2894912825
365.505,"Famennian","Southern","good",32,0,0,FALSE,40.11980054,20.82963778
377.23,"Frasnian","Northern","bad",2,0,0,FALSE,31.7070933,19.424497642
377.23,"Frasnian","Southern","good",39,0,0,FALSE,46.43339831,28.22234129
385.13,"Givetian","Northern","bad",3,0,0,FALSE,34.49732323,31.7070933
385.13,"Givetian","Southern","good",47,3,0.0638297872340425,TRUE,84.0625449,31.6733574
390.71,"Eifelian","Northern","bad",3,0,0,FALSE,2.653054191,1.335343624
390.71,"Eifelian","Southern","good",36,3,0.0833333333333333,TRUE,68.86017193,37.26156824
402.045,"Emsian","Northern","good",11,0,0,FALSE,37.83486706,2.725738484
402.045,"Emsian","Southern","good",48,9,0.1875,TRUE,82.38234022,46.22463886
411.82,"Pragian","Northern","bad",5,0,0,FALSE,6.743383021,4.682198987
411.82,"Pragian","Southern","good",15,2,0.133333333333333,TRUE,62.43585177,38.44920586
416.32,"Lochkovian","Northern","bad",11,0,0,FALSE,18.36362995,5.455724638
416.32,"Lochkovian","Southern","good",27,2,0.0740740740740741,TRUE,62.33227921,25.07091636
421.16,"Pridoli","Northern","bad",3,0,0,FALSE,9.450919534,7.198876599
421.16,"Pridoli","Southern","good",20,2,0.1,TRUE,66.92879738,28.5205496
423.85,"Ludfordian","Northern","bad",1,0,0,FALSE,4.032750033,4.032750033
423.85,"Ludfordian","Southern","good",9,0,0,FALSE,55.77959069,16.66971046
425.85,"Gorstian","Northern","bad",1,0,0,FALSE,2.402714384,2.402714384
425.85,"Gorstian","Southern","good",5,0,0,FALSE,52.5036487,16.66971046
428.65,"Homerian","Northern","good",8,0,0,FALSE,35.4953297,6.745117432
428.65,"Homerian","Southern","good",22,0,0,FALSE,54.19285767,24.24620459
431.75,"Sheinwoodian","Northern","bad",1,0,0,FALSE,5.389250307,5.389250307
431.75,"Sheinwoodian","Southern","good",8,0,0,FALSE,59.89823747,21.95447996
435.75,"Telychian","Northern","good",11,0,0,FALSE,35.92014927,9.82080498
435.75,"Telychian","Southern","good",25,0,0,FALSE,45.6719095,22.47357343
439.55,"Aeronian","Northern","bad",3,0,0,FALSE,8.001772054,6.041308988
439.55,"Aeronian","Southern","good",12,0,0,FALSE,59.89823747,24.27374823
441.8,"Rhuddanian","Northern","good",6,0,0,FALSE,33.22344509,6.6456229975
441.8,"Rhuddanian","Southern","good",20,0,0,FALSE,36.92314123,24.64305888
444.15,"Hirnantian","Northern","bad",8,0,0,FALSE,13.92412653,8.6038514975
444.15,"Hirnantian","Southern","good",23,1,0.0434782608695652,TRUE,61.21236603,27.29288918
449,"Katian","Northern","good",24,0,0,FALSE,27.40789451,8.719516698
449,"Katian","Southern","good",68,7,0.102941176470588,TRUE,85.16266202,25.83455403
455.5,"Sandbian","Northern","bad",16,0,0,FALSE,16.46543653,11.07866372
455.5,"Sandbian","Southern","good",53,4,0.0754716981132075,TRUE,82.57008594,29.90395216
463.8,"Darriwilian","Northern","good",22,0,0,FALSE,19.83993089,9.585698248
463.8,"Darriwilian","Southern","good",59,12,0.203389830508475,TRUE,82.98845176,33.59202116
470.35,"Dapingian","Northern","good",3,0,0,FALSE,31.56517556,25.18163465
470.35,"Dapingian","Southern","bad",8,0,0,FALSE,18.55569842,6.0350187705
474.2,"Floian","Northern","good",19,0,0,FALSE,32.71487219,16.05276354
474.2,"Floian","Southern","good",39,6,0.153846153846154,TRUE,82.98845176,35.23782202
481.975,"Tremadocian","Northern","good",16,0,0,FALSE,22.47357343,10.739764307
481.975,"Tremadocian","Southern","good",45,5,0.111111111111111,TRUE,75.94987466,21.18961094
