"","bin_midpoint","combined_slope","southern_slope","northern_slope","bin","stage","short","bottom","top","dur","climate_state"
"80",441.8,0.0926570092915802,0.153971671710433,-0.261768243593344,18,"Rhuddanian","Rhu",443.1,440.5,2.6,"Coolhouse"
"81",444.15,0.132093592249727,0.35319466292552,0.110464372718461,17,"Hirnantian","Hir",445.2,443.1,2.1,"Coolhouse"
"82",449,0.223764069169799,0.205005859841373,-0.805744041980319,16,"Katian","Kat",452.8,445.2,7.6,"Warmhouse"
"83",455.5,0.263570093859747,-0.0383313349282123,-0.375807211338757,15,"Sandbian","Sbd",458.2,452.8,5.4,"Warmhouse"
"84",463.8,0.14135636667723,0.127980228666225,-1.1128977968753,14,"Darriwilian","Dar",469.4,458.2,11.2,"Hothouse"
"85",470.35,3.17733206798047,3.50094456731613,0.1500612063433,13,"Dapingian","Dap",471.3,469.4,1.9,"Hothouse"
"86",474.2,0.181024175723932,0.247270663601328,0.339481286970214,12,"Floian","Flo",477.1,471.3,5.8,"Hothouse"
"87",481.975,0.112586512193873,0.115991007204566,-0.139463712977553,11,"Tremadocian","Tre",486.85,477.1,9.75,"Hothouse"
"88",488.925,-0.242297100367355,-0.308521039033134,0.28489494385115,10,"Stages 10","St10",491,486.85,4.15,""
"89",492.6,0.115665271022795,0.118789152738103,0.151825687092086,9,"Jiangshanian","Jia",494.2,491,3.2,""
"90",495.6,-0.169752195755236,-0.168143228444532,-0.0257244408031431,8,"Paibian","Pai",497,494.2,2.8,""
"91",498.75,-0.0577899944434672,-0.20319482453896,0.978054561341516,7,"Guzhangian","Guz",500.5,497,3.5,""
"92",502.5,-0.188491854345441,-0.157842974737771,-0.457693985682712,6,"Drumian","Dru",504.5,500.5,4,""
"93",505.5,-0.365071097279873,-5.81405569816682,-0.240972303253856,5,"Wulian","Wul",506.5,504.5,2,""
"94",510.5,-0.369100106188818,-0.348790964386705,-0.717580899848666,4,"Stage 4","St4",514.5,506.5,8,""
"95",517.75,0.0066464608789408,-0.0700579104036759,0.534612512051251,3,"Stage 3","St3",521,514.5,6.5,""
"96",525,0.0118348867577775,0.0107847441861701,0.136157254608806,2,"Stage 2","St2",529,521,8,""
"97",533.9,-0.0965617088913734,-0.102848503188816,NA,1,"Fortunian","For",538.8,529,9.8,""
