"bin_midpoint","slope","intercept","quantile","hemisphere","label","color"
"179.45",-0.0523657324414719,39.0725756237056,"q75","Northern","good","Northern"
"172.8",0.012744115603406,24.9242986815168,"q75","Northern","good","Northern"
"169.55",-0.23501598098809,39.4959275593159,"q75","Northern","good","Northern"
"166.75",0.454888409463776,19.5310729647679,"q75","Northern","good","Northern"
"163.4",-1.77046044537124,100.527450471151,"q75","Northern","good","Northern"
"158.15",-0.389553177372187,77.3090685027663,"q75","Northern","good","Northern"
"152",-0.696023445211547,61.0620244645952,"q75","Northern","bad","Bad hemisphere"
"146.15",-0.406304956226762,46.2778752784045,"q75","Northern","good","Northern"
"140.075",0.391030649940751,45.3973813849219,"q75","Northern","good","Northern"
"134.825",-0.0888044213203077,55.7762676615052,"q75","Northern","bad","Bad hemisphere"
"123.585",0.164619109729773,28.044350022501,"q75","Northern","good","Northern"
"117.3",0.253550930548426,32.5693111251421,"q75","Northern","good","Northern"
"106.85",0.0567130873786859,11.4676939220185,"q75","Northern","good","Northern"
"97.2",0.29663694417185,24.3570477486222,"q75","Northern","good","Northern"
"91.85",0.355748758895392,22.1051389822148,"q75","Northern","good","Northern"
"87.75",-0.495570765476739,31.6263176304899,"q75","Northern","good","Northern"
"84.65",-0.182652381023326,27.4782699150363,"q75","Northern","good","Northern"
"77.9",0.178085078520393,13.080859549139,"q75","Northern","good","Northern"
"69.1",1.8152973388057,-19.0137115353601,"q75","Northern","good","Northern"
"60.45",-0.127524541763913,84.7993363724421,"q75","Northern","bad","Bad hemisphere"
"57.62",0.0137414389845278,51.8435481466974,"q75","Northern","good","Northern"
"52.035",1.01943430932125,-8.05043077010762,"q75","Northern","good","Northern"
"44.55",0.357519220617542,8.15001599634449,"q75","Northern","good","Northern"
"39.37",0.400154258285652,13.8000566906512,"q75","Northern","good","Northern"
"35.805",0.278856934881425,30.2948333947226,"q75","Northern","good","Northern"
"30.6",0.142726117841651,35.172098776604,"q75","Northern","good","Northern"
"25.17",-0.136186140212696,55.6399559548039,"q75","Northern","good","Northern"
"21.745",-1.78185288076086,110.027475358025,"q75","Northern","good","Northern"
"18.215",-0.33212422647527,36.0392082973993,"q75","Northern","good","Northern"
"14.9",-1.01704872066822,73.255888852118,"q75","Northern","good","Northern"
"12.725",1.31449986093458,0.125254953900424,"q75","Northern","good","Northern"
"9.438",-0.807748640211044,58.3753029190059,"q75","Northern","good","Northern"
"6.2895",-1.51000020226057,122.298275923304,"q75","Northern","good","Northern"
"4.4665",-1.12925377770506,86.5391461769213,"q75","Northern","good","Northern"
"3.09",-0.672686369587185,70.8259989929819,"q75","Northern","good","Northern"
"1.29585",-0.503397095286798,53.0575026889615,"q75","Northern","good","Northern"
"0.00585",-0.780736920421391,65.0671394136726,"q75","Northern","good","Northern"
"481.975",0.311520197659371,31.424135927399,"q75","Southern","good","Southern"
"474.2",1.17134177074223,1.84207621196139,"q75","Southern","good","Southern"
"470.35",-2.12630689209201,98.4868228535451,"q75","Southern","good","Southern"
"463.8",-0.0794278011529994,34.1922490750366,"q75","Southern","good","Southern"
"455.5",-0.12024447398563,65.0988872525438,"q75","Southern","good","Southern"
"449",-0.14112176194778,50.8821292790114,"q75","Southern","good","Southern"
"444.15",-0.0593696702235453,35.0880631185132,"q75","Southern","good","Southern"
"441.8",-0.786915290128975,70.4598595762903,"q75","Southern","good","Southern"
"439.55",1.84327891274522,12.0966395949989,"q75","Southern","good","Southern"
"435.75",-0.417377779017229,54.3258217808247,"q75","Southern","good","Southern"
"431.75",1.37263148690607,18.6407074924836,"q75","Southern","good","Southern"
"428.65",1.76882317387366,16.5759507531092,"q75","Southern","good","Southern"
"425.85",2.309491189016,-12.9426675934839,"q75","Southern","good","Southern"
"423.85",0.82111681013523,43.4664161967213,"q75","Southern","good","Southern"
"421.16",-0.605535650066199,56.2879910463894,"q75","Southern","good","Southern"
"416.32",0.2071480811455,43.8280936020597,"q75","Southern","good","Southern"
"411.82",0.667837764764112,8.7695800795613,"q75","Southern","good","Southern"
"402.045",-0.614598841245389,73.1878129395099,"q75","Southern","good","Southern"
"390.71",0.0980513994156585,27.9049071455774,"q75","Southern","good","Southern"
"385.13",-0.409463653860404,45.0535943557582,"q75","Southern","good","Southern"
"377.23",-0.774876380229441,77.9873448355032,"q75","Southern","good","Southern"
"365.505",-0.234790090617223,32.4148527027616,"q75","Southern","good","Southern"
"352.78",-0.50708462425369,39.7783733431327,"q75","Southern","good","Southern"
"338.5",-0.430440467770694,37.508434204634,"q75","Southern","good","Southern"
"326.85",-0.995994939753768,53.6331707919463,"q75","Southern","good","Southern"
"319.3",-0.848885111754168,66.7351186720312,"q75","Southern","good","Southern"
"311.1",-0.935766435377731,56.559644041732,"q75","Southern","good","Southern"
"301.3",-1.84906245310067,90.1801553164473,"q75","Southern","good","Southern"
"296.21",-1.17292159682539,76.3586485462128,"q75","Southern","good","Southern"
"291.81",-0.221239444520963,59.636374449683,"q75","Southern","good","Southern"
"286.7",-0.484241856887506,67.5895877684375,"q75","Southern","good","Southern"
"278.85",-0.395173079594959,45.3749506395214,"q75","Southern","good","Southern"
"270.65",-0.141898521681858,27.5849527909937,"q75","Southern","good","Southern"
"265.59",-0.204604761591796,41.0728087787982,"q75","Southern","good","Southern"
"261.895",-0.710489294526634,74.621711526103,"q75","Southern","good","Southern"
"256.825",-0.245943726191056,53.5932746677689,"q75","Southern","good","Southern"
"253.021",0.410126726027303,27.0186464016201,"q75","Southern","good","Southern"
"250.901",0.704355956743109,-3.56951480540522,"q75","Southern","good","Southern"
"244.082",-0.865860986607464,70.0715900057916,"q75","Southern","good","Southern"
"239.232",-0.130817808467045,12.3322648112769,"q75","Southern","bad","Bad hemisphere"
"232.15",0.255844987142739,-4.43601586089062,"q75","Southern","good","Southern"
"216.5",-0.490085556122737,45.4893214235767,"q75","Southern","good","Southern"
"203.55",-1.15702603966011,90.6854619399612,"q75","Southern","good","Southern"
"200.45",-0.0649314015611346,17.7548001281631,"q75","Southern","good","Southern"
"196.2",-0.00397954918565426,42.5947082522651,"q75","Southern","good","Southern"
"188.55",-0.701802837468249,67.0211446109493,"q75","Southern","good","Southern"
"179.45",-0.963896522056521,80.3178586372661,"q75","Southern","good","Southern"
"172.8",-0.268016547911579,39.3013632893476,"q75","Southern","good","Southern"
"169.55",-0.583825694204253,58.5771230714779,"q75","Southern","good","Southern"
"166.75",-1.06134241879775,85.8512371868037,"q75","Southern","bad","Bad hemisphere"
"163.4",-0.592426068855978,83.0744692141198,"q75","Southern","bad","Bad hemisphere"
"158.15",-1.02553935464905,98.8008840747778,"q75","Southern","bad","Bad hemisphere"
"152",-0.38570810393927,33.8429293367482,"q75","Southern","bad","Bad hemisphere"
"146.15",-1.36261836717395,113.85347122179,"q75","Southern","bad","Bad hemisphere"
"134.825",0.986759477992833,-5.43481040015075,"q75","Southern","good","Southern"
"123.585",-2.71437371506699,140.715605726005,"q75","Southern","good","Southern"
"117.3",-0.0374694149518567,12.794530654051,"q75","Southern","good","Southern"
"106.85",0.0619897018439404,7.67643782046455,"q75","Southern","good","Southern"
"97.2",-0.205376198266898,23.5450844008959,"q75","Southern","good","Southern"
"91.85",-1.35528169522155,109.601530545661,"q75","Southern","bad","Bad hemisphere"
"87.75",-0.801294896218473,66.537169434674,"q75","Southern","bad","Bad hemisphere"
"84.65",0.00436887917713106,30.4545384987002,"q75","Southern","good","Southern"
"77.9",0.212162922691974,6.62882584014151,"q75","Southern","good","Southern"
"69.1",0.257560773189703,9.85945940505027,"q75","Southern","good","Southern"
"63.83",0.0569555098730876,2.06022955899558,"q75","Southern","good","Southern"
"57.62",0.531472802918913,11.2549600800482,"q75","Southern","good","Southern"
"52.035",0.45350729689412,6.95856096293529,"q75","Southern","bad","Bad hemisphere"
"44.55",-0.0413756751274504,12.7003522315346,"q75","Southern","good","Southern"
"39.37",-0.667713205178617,45.4781075103238,"q75","Southern","good","Southern"
"35.805",0.102429859259717,14.8047321972728,"q75","Southern","good","Southern"
"30.6",0.339722848532306,3.33936403668169,"q75","Southern","good","Southern"
"18.215",-0.0827018180291092,25.4715214619999,"q75","Southern","good","Southern"
"12.725",-0.407223603428041,48.4275600493338,"q75","Southern","good","Southern"
"9.438",0.212355364715434,30.7085450096747,"q75","Southern","good","Southern"
"4.4665",-0.56386429970328,52.1968785378087,"q75","Southern","good","Southern"
"3.09",-0.51772699395125,41.3874060485632,"q75","Southern","good","Southern"
"1.29585",0.181163542091111,19.0390340726438,"q75","Southern","good","Southern"
"0.00585",0.283118350223977,25.8438303340953,"q75","Southern","good","Southern"
"474.2",-2.06204193595853,95.1450284014243,"q90","Northern","good","Northern"
"470.35",-1.90336796342643,98.5472378709525,"q90","Northern","good","Northern"
"441.8",-2.10653584683533,113.509644507956,"q90","Northern","good","Northern"
"435.75",-1.66612671810805,86.4299029897984,"q90","Northern","good","Northern"
"428.65",-0.985039719589479,62.3093388273481,"q90","Northern","good","Northern"
"402.045",-0.636439487932596,49.3410734725648,"q90","Northern","good","Northern"
"385.13",0.800795513657575,-7.59493376275213,"q90","Northern","good","Northern"
"319.3",-1.20076528321801,71.5046501540817,"q90","Northern","good","Northern"
"311.1",-0.149819280785949,12.1336931732162,"q90","Northern","good","Northern"
"301.3",-0.842658987624609,56.2530678000404,"q90","Northern","good","Northern"
"296.21",-1.31341779407843,97.9357424288989,"q90","Northern","good","Northern"
"291.81",-0.141200661679986,52.2258309438758,"q90","Northern","good","Northern"
"286.7",-0.830249305617646,86.5975261613629,"q90","Northern","good","Northern"
"278.85",0.0504383620756703,38.0891301659846,"q90","Northern","good","Northern"
"270.65",-1.2176993354556,92.8725975811706,"q90","Northern","good","Northern"
"265.59",-0.998725051165956,87.6642678441907,"q90","Northern","good","Northern"
"261.895",-0.610782215293849,92.9565438936527,"q90","Northern","good","Northern"
"256.825",-1.17864128701393,97.4356422008745,"q90","Northern","good","Northern"
"253.021",-1.16360844444614,95.0579963980775,"q90","Northern","good","Northern"
"250.901",-0.57805760927645,91.2950004245803,"q90","Northern","good","Northern"
"248.3",-0.362697629623811,91.104603761765,"q90","Northern","good","Northern"
"244.082",-0.93393588486122,105.047245646076,"q90","Northern","good","Northern"
"239.232",-0.165708602804282,35.6369108296449,"q90","Northern","good","Northern"
"232.15",-0.830460166815499,67.4903778407491,"q90","Northern","good","Northern"
"216.5",0.0160967807107817,53.4119010046215,"q90","Northern","good","Northern"
"203.55",-0.227986606628498,60.2687350816922,"q90","Northern","good","Northern"
"200.45",0.799009856691845,17.585130169625,"q90","Northern","good","Northern"
"196.2",-0.4278950897197,64.6529522001824,"q90","Northern","good","Northern"
"188.55",0.218440716703769,47.8830706582338,"q90","Northern","good","Northern"
"179.45",-0.431074849725741,73.3696463664862,"q90","Northern","good","Northern"
"172.8",0.200735443963477,47.2336359691713,"q90","Northern","good","Northern"
"169.55",0.445095768911557,45.0719962443269,"q90","Northern","good","Northern"
"166.75",-0.258155378737823,57.6526927253714,"q90","Northern","good","Northern"
"163.4",-1.38943942230261,102.296150804737,"q90","Northern","good","Northern"
"158.15",-0.518338681223323,103.277866914314,"q90","Northern","good","Northern"
"152",-1.4166941518279,115.112327460821,"q90","Northern","bad","Bad hemisphere"
"146.15",-0.051642569810658,38.6349943671131,"q90","Northern","good","Northern"
"140.075",0.72617697479551,39.7629509725984,"q90","Northern","good","Northern"
"134.825",-0.366320859417149,79.3591708013905,"q90","Northern","bad","Bad hemisphere"
"123.585",0.177684796576323,32.158758211335,"q90","Northern","good","Northern"
"117.3",0.295898845762082,43.9098117086908,"q90","Northern","good","Northern"
"106.85",0.00404945275914039,19.1366201719981,"q90","Northern","good","Northern"
"97.2",0.148169948922451,53.1665232695774,"q90","Northern","good","Northern"
"91.85",0.200114213823368,50.9974295967912,"q90","Northern","good","Northern"
"87.75",0.0322695904825918,26.1142620708078,"q90","Northern","good","Northern"
"84.65",0.327488502675812,23.3055910446773,"q90","Northern","good","Northern"
"77.9",0.271138922640873,14.8411836980561,"q90","Northern","good","Northern"
"69.1",2.02266720563157,-18.9687968005535,"q90","Northern","good","Northern"
"60.45",-0.546309901902593,116.208238382843,"q90","Northern","bad","Bad hemisphere"
"57.62",0.0137414389845268,69.9215729346736,"q90","Northern","good","Northern"
"52.035",1.52598642383177,-14.5224221343966,"q90","Northern","good","Northern"
"44.55",0.722980395575393,16.5858723059208,"q90","Northern","good","Northern"
