"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
97.2,"Northern","Cenomanian",50,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,4533,90.66,25,5,1060,TRUE,2,21,8.33333333333333,6.5,0.812699206348819,0.24,0.42,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
106.85,"Northern","Albian",36,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2175,60.4166666666667,21,5,304,TRUE,1,13,6,5,0.691214711777591,0.166666666666667,0.361111111111111,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
117.3,"Northern","Aptian",24,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1881,78.375,36.5,5,428,TRUE,1,12,4,2.5,1.04880884817015,0.25,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
123.585,"Northern","Barremian",10,4,24.73561,73.221345,48.485735,TRUE,TRUE,TRUE,180,18,11.5,6,55,TRUE,1,5,2.5,2,0.692820323027551,0.4,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
129.185,"Northern","Hauterivian",15,3,35.905157,73.221345,37.316188,FALSE,TRUE,TRUE,854,56.9333333333333,21,5,447,FALSE,1,10,5,4,0.916515138991168,0.2,0.666666666666667,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
134.825,"Northern","Valanginian",19,3,35.905157,73.221345,37.316188,FALSE,TRUE,TRUE,958,50.4210526315789,24,5,441,FALSE,3,9,6.33333333333333,7,0.48237638894272,0.473684210526316,0.473684210526316,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
140.075,"Northern","Berriasian",23,4,24.73561,73.221345,48.485735,TRUE,TRUE,TRUE,619,26.9130434782609,17,5,74,TRUE,1,12,5.75,5,0.844568248367157,0.173913043478261,0.521739130434783,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
146.15,"Northern","Tithonian",21,4,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2430,115.714285714286,10,5,1158,TRUE,1,9,5.25,5.5,0.666666666666667,0.19047619047619,0.428571428571429,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
152,"Northern","Kimmeridgian",10,3,35.905157,73.221345,37.316188,FALSE,TRUE,TRUE,1666,166.6,49,5,1085,FALSE,3,4,3.33333333333333,3,0.173205080756888,0.9,0.4,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
158.15,"Northern","Oxfordian",25,5,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,3673,146.92,41,6,859,TRUE,2,12,5,2,0.894427190999916,0.4,0.48,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
