"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",158.15,"Oxfordian","Mesozoic",0.754385964912281,-0.051438481647655,-0.259388298558052,3.5,2.5,1.10149734402402,0.918936583472681,1,1,0.32399858379624,0.418904956421647,0.207949816910397,0.207949816910397,0.182560760551337,0.182560760551337,0.251314428280906,1,1,0,0,0.069229028794823,-0.0949063726254066,0.371451770108944
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",163.4,"Callovian","Mesozoic",0.571428571428571,-0.932575048152963,-0.288496355074535,1.5,3,1.18305618132291,0.880630571852711,1,2,0.195217241786804,0.139553650355561,0.644078693078429,-0.644078693078429,0.302425609470201,0.302425609470201,0.470003629245736,1.5,-1.5,0.405465108108164,-1,0.047691310190643,0.0556635914312422,0.167385446071183
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",169.55,"Bajocian","Mesozoic",0.78,-0.155033671893614,-0.487223998553211,2,1.5,1.20876796780855,0.726636084983398,1,1,0.244576607938519,0.115155494780402,0.332190326659597,0.332190326659597,0.482131882825147,0.482131882825147,0.182321556793955,0.5,0.5,0,0,0.109801545742464,0.129421113158116,0.17986605135946
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",179.45,"Toarcian","Mesozoic",0.666666666666667,-0.472148377868428,-0.348513614046819,4,2,1.15999406813862,0.816496580927726,2,2,0.783847947412427,0.0410637972205827,0.123634763821609,-0.123634763821609,0.343497487210898,0.343497487210898,0.510825623765991,2,2,0,0,0.538529726945481,0.742784150191844,0.412455872316505
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",188.55,"Pliensbachian","Mesozoic",0.109090909090909,0.0502827807245247,-0.266504178843629,5.5,2,0.976754619531876,0.846852858124485,2,1,0.487858385618531,0.843298050553761,0.316786959568154,0.316786959568154,0.12990176140739,0.12990176140739,0.773189888233482,3.5,3.5,0.405465108108164,1,0.214218625007966,-0.355439664935229,0.665578218086146
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",200.45,"Hettangian","Mesozoic",0.136363636363636,0.271340864082647,0.141473771483716,2,2,1.26360366210139,0.637661015154552,1,1,0.368835925813102,0.376695051190642,0.129867092598931,0.129867092598931,0.625942646946834,0.625942646946834,0,0,0,0,0,0.00572504692852036,-0.00785912537754069,0.372765488501872
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",203.55,"Rhaetian","Mesozoic",0.630681818181818,-0.175702287377323,-0.443418965276587,1,1,1.3555441711726,0.724996437722796,1,1,0.0489676162002025,0.772416944190039,0.267716677899263,0.267716677899263,0.6305477334498,0.6305477334498,0,0,0,0,0,0.524537662500994,-0.723449327989836,0.410692280195121
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",216.5,"Norian","Mesozoic",0.280748663101604,-0.442447148254617,-0.444815804838563,5.5,1.5,0.364516079643051,0.536286589227368,3,1,0.272754292973955,0.678928829794013,0.00236865658394625,0.00236865658394625,0.171770509584317,-0.171770509584317,0.955511445027436,4,4,0.693147180559945,2,0.276972701962567,-0.406174536820058,0.475841561383984
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",232.15,"Carnian","Mesozoic",1.1969696969697,-0.277252453057808,-0.0210230081498744,4.5,1,0.47759729223868,0.918936583472681,1,1,0.859438293820411,0.190629806629252,0.256229444907934,-0.256229444907934,0.441339291234001,-0.441339291234001,1.01160091167848,3.5,3.5,0,0,0.445792033157782,0.66880848719116,0.525034050224832
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar",244.082,"Anisian","Mesozoic",0.15625,-0.174243713648118,-0.0469346414290541,3.5,1,0.698212002188447,0.894427190999916,2,1,1.25870774650525,0.118861835039426,0.127309072219064,-0.127309072219064,0.196215188811469,-0.196215188811469,0.810930216216329,2.5,2.5,0.405465108108164,1,0.702480906274273,1.13984591146583,0.68878479077234
