"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
166.75,"Northern","Bathonian",33,11,11.216828,53.750124,42.533296,TRUE,TRUE,FALSE,2825,85.6060606060606,40,5,739,TRUE,0,8,1.83333333333333,2,1.20160320712774,0,0.242424242424242,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
169.55,"Northern","Bajocian",33,11,7.986719,80.405932,72.419213,TRUE,TRUE,TRUE,1972,59.7575757575758,22,5,444,TRUE,0,7,1.83333333333333,1,1.21608087646506,0,0.212121212121212,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
172.8,"Northern","Aalenian",25,12,14.483604,80.405932,65.922328,TRUE,TRUE,TRUE,1974,78.96,31,7,411,TRUE,0,5,1.38888888888889,1,1.13543979559101,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
179.45,"Northern","Toarcian",50,12,14.483604,80.405932,65.922328,TRUE,TRUE,TRUE,9427,188.54,61,5,2833,TRUE,0,10,2.77777777777778,1,1.28058810019184,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
188.55,"Northern","Pliensbachian",65,16,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,8576,131.938461538462,43,6,1245,TRUE,0,11,3.61111111111111,1.5,1.04972772562527,0,0.169230769230769,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
196.2,"Northern","Sinemurian",46,15,1.592369,66.77291,65.180541,TRUE,TRUE,TRUE,2965,64.4565217391304,25,5,393,TRUE,0,8,2.55555555555556,1.5,1.01528406600445,0,0.173913043478261,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
200.45,"Northern","Hettangian",25,11,4.782054,66.77291,61.990856,TRUE,TRUE,TRUE,1300,52,27,8,182,TRUE,0,5,1.38888888888889,1,1.21333764274175,0,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
203.55,"Northern","Rhaetian",22,9,4.782054,66.77291,61.990856,TRUE,TRUE,TRUE,2160,98.1818181818182,22,5,1333,TRUE,0,7,1.22222222222222,0.5,1.55126306998506,0,0.318181818181818,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
216.5,"Northern","Norian",39,17,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,3314,84.974358974359,46,5,483,TRUE,0,4,2.16666666666667,2,0.454700476681744,0,0.102564102564103,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
232.15,"Northern","Carnian",29,12,7.986719,80.405932,72.419213,TRUE,TRUE,TRUE,4270,147.241379310345,15,5,2769,TRUE,0,4,1.61111111111111,1,0.955394632947723,0,0.137931034482759,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
239.232,"Northern","Ladinian",26,14,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,1682,64.6923076923077,26.5,5,631,TRUE,0,5,1.44444444444444,1,1.01365545896441,0,0.192307692307692,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
244.082,"Northern","Anisian",37,13,1.592369,66.77291,65.180541,TRUE,TRUE,TRUE,5604,151.459459459459,43,5,1370,TRUE,0,5,2.05555555555556,2,0.890373038279546,0,0.135135135135135,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
248.3,"Northern","Olenekian",37,14,4.782054,80.405932,75.623878,TRUE,TRUE,TRUE,4631,125.162162162162,60,5,864,TRUE,0,5,2.05555555555556,2,0.791014288768464,0,0.135135135135135,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
250.901,"Northern","Induan",39,13,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,3442,88.2564102564103,39,5,583,TRUE,0,8,2.16666666666667,2,1.01674117526194,0,0.205128205128205,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
253.021,"Northern","Changhsingian",28,10,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,6457,230.607142857143,79,6,1116,TRUE,0,6,1.55555555555556,1,1.28990912324027,0,0.214285714285714,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
256.825,"Northern","Wuchiapingian",46,12,1.592369,66.77291,65.180541,TRUE,TRUE,TRUE,5748,124.95652173913,59,5,718,TRUE,0,12,2.55555555555556,2,1.22440435233382,0,0.260869565217391,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
261.895,"Northern","Capitanian",24,13,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,3526,146.916666666667,29,5,2276,TRUE,0,5,1.33333333333333,1,0.996316746232607,0,0.208333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
265.59,"Northern","Wordian",23,13,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,2345,101.95652173913,25,6,726,TRUE,0,3,1.27777777777778,1,0.840565011483328,0,0.130434782608696,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
270.65,"Northern","Roadian",35,17,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,6652,190.057142857143,22,6,2859,TRUE,0,4,1.94444444444444,1.5,0.647462495495476,0,0.114285714285714,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
278.85,"Northern","Kungurian",37,14,1.592369,80.405932,78.813563,TRUE,TRUE,TRUE,4132,111.675675675676,40,5,1068,TRUE,0,6,2.05555555555556,2,0.825463780220329,0,0.162162162162162,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
286.7,"Northern","Artinskian",29,11,1.592369,59.588323,57.995954,TRUE,TRUE,FALSE,1866,64.3448275862069,51,6,180,TRUE,0,7,1.61111111111111,1,1.29741674135237,0,0.241379310344828,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
