"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","n_resamples_valid","prop_negative","prop_positive","k_sample","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","slope_90deg","slope_sampled_range","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
172.8,"Aalenian","Southern",-0.0796740849191482,39.2299092472043,0.284995209298926,-3.70088156310026,3.54153339326196,0.826455332026484,0.0724899303187203,3,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bad","Bad hemisphere","occurrence10_k3_tropical_temperate_polar","occurrence",10,NA,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-7.17066764272334,NA,60,"Aalenian","Aal",174.7,170.9,3.8,"Transitional","#E4E4E4"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,20,7,16.155405,76.366978,60.211573,TRUE,TRUE,TRUE,4999,249.95,38.5,10,2948,TRUE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-15.0820839693224,-10.0901777767887,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,20,7,16.155405,76.366978,60.211573,TRUE,TRUE,TRUE,4999,249.95,38.5,10,2948,TRUE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-15.0820839693224,-10.0901777767887,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,17,4,16.155405,46.433937,30.278532,TRUE,TRUE,FALSE,4825,283.823529411765,36,10,2948,TRUE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-15.0820839693224,-5.07403735657573,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,17,4,16.155405,46.433937,30.278532,TRUE,TRUE,FALSE,4825,283.823529411765,36,10,2948,TRUE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,TRUE,TRUE,FALSE,TRUE,TRUE,"bad","Bad hemisphere","occurrence10_k2_tropical_temperate_polar","occurrence",10,NA,2,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-15.0820839693224,-5.07403735657573,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,13,2,30.068394,37.779652,7.711258,FALSE,TRUE,FALSE,4695,361.153846153846,44,10,2948,FALSE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence10_k3_tropical_temperate","occurrence",10,NA,3,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-15.0820839693224,-1.29224267405677,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Northern",-0.167578710770249,57.8822741326479,0.365650599987363,-1.10751350128728,0.772356079746786,0.665965415293548,0.0403147458763196,7,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,13,2,30.068394,37.779652,7.711258,FALSE,TRUE,FALSE,4695,361.153846153846,44,10,2948,FALSE,0,7,2.22222222222222,1,1.14236596587959,0,0.35,FALSE,TRUE,FALSE,FALSE,TRUE,"bad","Bad hemisphere","occurrence10_k3_tropical_temperate_polar","occurrence",10,NA,3,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-15.0820839693224,-1.29224267405677,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Southern",-0.451201271883676,57.7920382803096,0.454066355648422,-1.71189158245874,0.809489038691384,0.376618490240084,0.197982146193732,6,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,10,6,3.189685,76.366978,73.177293,TRUE,TRUE,TRUE,990,99,44.5,22,405,TRUE,0,4,1.11111111111111,1,1.14236596587959,0,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Southern","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-40.6081144695309,-33.0176876746044,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Southern",-0.451201271883676,57.7920382803096,0.454066355648422,-1.71189158245874,0.809489038691384,0.376618490240084,0.197982146193732,6,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,10,6,3.189685,76.366978,73.177293,TRUE,TRUE,TRUE,990,99,44.5,22,405,TRUE,0,4,1.11111111111111,1,1.14236596587959,0,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Southern","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",TRUE,TRUE,TRUE,TRUE,FALSE,-40.6081144695309,-33.0176876746044,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
179.45,"Toarcian","Southern",-0.451201271883676,57.7920382803096,0.454066355648422,-1.71189158245874,0.809489038691384,0.376618490240084,0.197982146193732,6,"percentile_latbin_OLS","q90","q90","occurrence10","occurrence",10,NA,NA,NA,NA,NA,NA,NA,6,2,30.068394,37.779652,7.711258,FALSE,TRUE,FALSE,607,101.166666666667,44.5,22,405,FALSE,0,4,1.11111111111111,1,1.14236596587959,0,0.4,FALSE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence10_k2_tropical_temperate","occurrence",10,NA,2,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,-40.6081144695309,-3.47932941742317,59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#DECABC"
