"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","n_resamples_valid","prop_negative","prop_positive","k_sample"
77.9,"Campanian","Northern",-0.197375330651024,20.8518688326883,0.168344489828089,-0.60929945788633,0.214548796584281,0.285455668211127,0.186400597469104,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
77.9,"Campanian","Southern",0.345252152498655,0.0461013044507159,0.166738169535489,-0.185383119089332,0.875887424086642,0.130164329065627,0.588335410137342,5,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
84.65,"Santonian","Northern",-0.126261429918052,10.6628130535838,0.084567825018679,-0.490127413083647,0.237604553247542,0.273992409896541,0.527087020887831,4,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
84.65,"Santonian","Southern",-0.38051187335937,33.3701853527867,0.230613349362616,-3.31073230525574,2.549708558537,0.346871255354579,0.73136317300481,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
87.75,"Coniacian","Northern",-0.497079256532429,33.117286587056,0.0537747413860433,-0.66821448357403,-0.325944029490829,0.00267872073127779,0.966081216064364,5,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
87.75,"Coniacian","Southern",-0.139351409517739,22.4106779345701,0.398895081419427,-5.20779398228605,4.92909116325057,0.78603855169002,0.108766883512809,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
91.85,"Turonian","Northern",-0.0921322659491857,11.3599592245988,0.0943346604800433,-0.315198291886068,0.130933759987696,0.361277387587123,0.119923260179515,9,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
91.85,"Turonian","Southern",-0.250469772927416,25.6645399794923,0.214787488774419,-1.1746257478187,0.673686201963872,0.36381114349526,0.404736261140809,4,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
97.2,"Cenomanian","Northern",-0.278129465700541,25.5743421732095,0.350115643898225,-1.13483158402636,0.578572652625278,0.457227617582298,0.0951673513647666,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
97.2,"Cenomanian","Southern",-0.0311426033011834,11.1620902285867,0.12237773209491,-0.345724578510726,0.283439371908359,0.80925995493755,0.0127863379476073,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
