"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coldhouse","Warmhouse",6,10,-0.497396208530093,-0.0921168257669021,-0.405279382763191,0.00733412981253688,7,0.32623798009926,0.428769928064276,"Tested",0.0733412981253688
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coldhouse","Hothouse",6,8,-0.497396208530093,0.231191303283588,-0.728587511813681,0.0165799937294239,7,0.32623798009926,0.794473340121061,"Tested",0.0828999686471195
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coldhouse","Transitional",6,12,-0.497396208530093,-0.0330543718890239,-0.464341836641069,0.0611288085210005,19,0.32623798009926,0.810331696822004,"Tested",0.152822021302501
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coolhouse","Hothouse",12,8,-0.235406412736872,0.231191303283588,-0.46659771602046,0.0568693905793926,27,0.501492121858339,0.794473340121061,"Tested",0.152822021302501
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coldhouse","Coolhouse",6,12,-0.497396208530093,-0.235406412736872,-0.26198979579322,0.10304488849257,22,0.32623798009926,0.501492121858339,"Tested",0.171741480820949
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Transitional","Hothouse",12,8,-0.0330543718890239,0.231191303283588,-0.264245675172612,0.0884832449162031,30,0.810331696822004,0.794473340121061,"Tested",0.171741480820949
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coolhouse","Warmhouse",12,10,-0.235406412736872,-0.0921168257669021,-0.14328958696997,0.186689012840228,46,0.501492121858339,0.428769928064276,"Tested",0.266698589771754
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Coolhouse","Transitional",12,12,-0.235406412736872,-0.0330543718890239,-0.202352040847848,0.235243211029395,59,0.501492121858339,0.810331696822004,"Tested",0.280644590606364
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Warmhouse","Hothouse",10,8,-0.0921168257669021,0.231191303283588,-0.32330812905049,0.252580131545728,32,0.428769928064276,0.794473340121061,"Tested",0.280644590606364
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate","Transitional","Warmhouse",12,10,-0.0330543718890239,-0.0921168257669021,0.0590624538778782,0.434532945244019,57,0.810331696822004,0.428769928064276,"Tested",0.434532945244019
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coldhouse","Coolhouse",2,3,-0.606048416645094,-0.240333066538954,-0.36571535010614,0.193238115385616,1,0.161657841564361,0.253419978216802,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coldhouse","Transitional",2,4,-0.606048416645094,-0.457372135651479,-0.148676280993616,0.243726645182017,2,0.161657841564361,0.511961072251354,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coldhouse","Warmhouse",2,5,-0.606048416645094,-0.195715193646987,-0.410333222998107,0.0406805646170377,0,0.161657841564361,0.386277352620769,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coldhouse","Hothouse",2,3,-0.606048416645094,0.365373404211767,-0.971421820856861,0.193238115385616,1,0.161657841564361,0.803805054261974,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coolhouse","Warmhouse",3,5,-0.240333066538954,-0.195715193646987,-0.044617872891967,0.275492493792547,5,0.253419978216802,0.386277352620769,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Transitional","Warmhouse",4,5,-0.457372135651479,-0.195715193646987,-0.261656942004492,0.19563363964132,6,0.511961072251354,0.386277352620769,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Transitional","Hothouse",4,3,-0.457372135651479,0.365373404211767,-0.822745539863246,0.10796246947007,2,0.511961072251354,0.803805054261974,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Warmhouse","Hothouse",5,3,-0.195715193646987,0.365373404211767,-0.561088597858754,0.275492493792547,5,0.386277352620769,0.803805054261974,"Tested",0.344365617240683
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coolhouse","Hothouse",3,3,-0.240333066538954,0.365373404211767,-0.605706470750721,0.331260291770029,3,0.253419978216802,0.803805054261974,"Tested",0.368066990855588
"percentile_latbin_OLS","q90","occurrence10_k3_tropical_temperate_polar","Coolhouse","Transitional",3,4,-0.240333066538954,-0.457372135651479,0.217039069112525,0.811620441094209,8,0.253419978216802,0.511961072251354,"Tested",0.811620441094209
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coldhouse","Transitional",24,31,-0.84417311661836,-0.14511380686708,-0.69905930975128,4.26834488607964e-05,140,0.831454460228512,0.609322595003665,"Tested",0.000213417244303982
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coldhouse","Warmhouse",24,25,-0.84417311661836,-0.110102477222273,-0.734070639396087,2.56088164740415e-05,97,0.831454460228512,0.450715892109022,"Tested",0.000213417244303982
